"name","year","id","type__001","type__002","type__003","rate","story","director__001","director__002","actor__001","actor__002","actor__003","actor__004"
"杂技亡命队","1979","2144749","动作","剧情","","6.7","本片為張徹導演，並與倪匡聯合編劇，演員除羅莽、江生、郭追、孫建、鹿峰一眾《五毒》演員之外，尚有曹達華客串。故事描述土匪出身的軍人韓佩昌(王力 飾)發動叛變，殺死師長楊宗，竊居其位，楊家只得長子大英一人(羅莽 飾)逃出生天。大英志切報仇，結果未得手已告命喪；其好友陳風(江生 飾)、梁國仁(郭追 飾)、傅全義(鹿峰 飾)、辛成(孫建 飾)決替其復仇……","张彻","","罗莽","江生","孙建","郭追"
"毒玫瑰与大保镖","1979","26757162","动作","","","0","","杨权","","周丽娟","陈军堡","何柏光","马剑棠"
"鬼咁过瘾","1979","5159325","喜剧","奇幻","","0","","李沛權","","伊雷","妞妞","張瑛","猛丁哥"
"残酷奸杀案","1979","26642201","犯罪","","","0","陈小美偷走男朋友的钱从此失踪，有人在河边发现了箱子，里面装有尸体，怀疑死者是陈小美，后来陈小美的男朋友承认杀死了陈小美。可是本案疑点重重，重查解剖，发现死者无论身高，年龄还是指纹，都与陈小美完全不同，警方报纸新闻希望有人来认尸，后来洪太太和母亲一起去认尸，证明死者是自己的妹妹，而警方查证一切证据都指向洪太太的丈夫洪正雄，于是警方开始追捕洪正雄.........","华山","","刘丹","莎莎","李寿祺",""
"大命捞家","1979","4325946","","","","0","","华山","","李修贤","米雪","林建明",""
"斗法","1979","26757149","","","","0","","鲁俊谷","","苏杏璇","任世官","郑淑英","朱铁和"
"虫","1979","6436781","剧情","犯罪","恐怖","0","","韋弘","","韦弘","顾依丽","",""
"猪仔血泪","1979","1306354","动作","剧情","西部","0","","华山","","庄泉利","卡尔史高脱","路易士白加","马宗德"
"大斗大","","5090103","","","","0","","王天林","","谭炳文","余子明","陈仪馨","李香琴"
"七煞","1979","3040816","动作","惊悚","武侠","7","七煞是紫微斗数中14颗主星之一。七煞是一颗坚毅勇敢的星曜，象征「威勇」，化气为「将星」，主「肃杀」。具有运用帷幄的能力，拥有理智而独立、冲锋陷阵、冒险犯难的特性。本片为邵氏早期经典武侠改编作品。闻风丧胆的七煞会，再次集结各个分坛主，江湖将掀起血雨腥风......","孙仲","","邓伟豪","元彬","元华","罗军"
"上海滩大亨","1979","1300301","动作","","","5.7","龙蛇混集的小镇上。汪洪为一之首，窝娼聚赌，无法无天，而善长“擒拿手”之王进勇，不甘与同流合污而拒之。一次，王错手打死汪之手下，而逃亡上海。眼看上海之繁华，王决心闯一番事业，虽然困难重重。但经一番苦战后，终成为独一无二的上海滩大亨。","陈观泰","","陈观泰","陈星","龙方",""
"山中传奇","1979","1306021","奇幻","武侠","古装","8.2","落第举子何云青（石隽 饰）受高僧所托，前往经略府抄经书。云青所抄之书乃《大手印》，相传此经能沟通阴阳两界，超渡亡魂。途中云青三遇神秘吹笛女子，几经周折后他来到经略府，受到参军崔鸿至以及老大娘王婆的热情招待。当夜，云青受邀到王婆府上吃饭，结识了一位妙龄少女乐娘（徐枫 饰）。此时有个番僧闯上门来，云青认得他是跟了自己一路的人，王婆很快把他赶走。席间，乐娘击鼓助兴，云青在鼓声中渐渐昏迷。\n次日云青醒来，发现与乐娘共处一室，他不记得昨夜之事，乐娘却哭诉他们二人已经发生关系。王婆随即撮合二人成亲，结为夫妻后，云青与乐娘过上了神仙眷侣的日子，整天沉溺于床笫之欢中。然而这一切的背后，隐藏了一个极大的阴谋，王婆与乐娘，真实身份到底如何……©豆瓣","胡金铨","","石隽","徐枫","张艾嘉","田丰"
"打藤","1979","26713425","喜剧","犯罪","","0","","胡枫","黄文","韦弘","庄莉莉","骆应钧",""
"打出头","1979","26279436","动作","","","0","","黄华麒","","林蛟","钱月笙","何宗道","李海生"
