"name","year","id","type__001","type__002","type__003","rate","story","director__001","director__002","director__003","director__004","actor__001","actor__002","actor__003","actor__004"
"妖魔道","1991","1298669","动作","奇幻","爱情","6.6","五百年前，邪姬（邱月清 饰）被高僧藏生大师的心脏所镇压，无法作恶，如今期限已过，重出江湖的邪姬决心夺走魔君的女儿彩衣（周慧敏 饰）以助长自己的魔力，替自己报仇雪恨。微波派掌门白眉师太早就料到邪姬此举，在很多年前便将彩衣收入门下，并且对其隐瞒了她的真实身份。\n白眉师太相中了阳年阳月阳日出生的极阳之人廖震（倪震 饰），希望他能够镇压彩衣身上不断出现的魔性，然而成婚之日在即，廖震居然离家出走，拜在传真派门下学道，与此同时，传真派弟子丘处南（冯淬帆 饰）和邓天光（楼南光 饰）亦在追求白眉师太手下的敏儿（张敏 饰）和阿燕（司马燕 饰）。廖震和彩衣在不知彼此身份的情况下相遇，一来二去之中，竟然生出了真正的情谊。©豆瓣","张海靖","","","","周慧敏","张敏","邱月清","楼南光"
"正红旗下","1991","2922089","剧情","犯罪","","5.8","该片描述是大圈帮的故事，不过那是早期偷渡来港的一批满以为香港遍地黄金的大陆青年。当时的香港人轻视大陆人的心理，造成二者格格不入，加上本身慕求财富虚荣的思想，终于铤而走险，希望械劫得一笔巨额款项，然后飘洋远方。他们纠结了一群本地飞车党，详细策划了这宗天衣无缝的劫案。\n根據1974年5月25日香港旺角上海街寶生銀行發生的七佰萬元大劫案真實改編。本片根據案中一名犯罪成員親身口述，以寫實的手法拍攝這宗香港開埠以來空前震撼的劫案，該片無論案發前后，人物，地點和計劃都展露眼前。当年擔任此案總指揮的重案組警司 - 陳欣健。亦已轉向娛乐界發展。","何卓荣","","","","林文龙","江华","吴雪雯","黄家驹"
"色降","","2133903","","","","","","","","","","","","",""
"聊斋花弄月","","3434539","","","","","","","","","","","","",""
"暴风少年","1991","1299205","动作","","","6.8","曾在黑社会号称大阿哥的老李，因妻子屡劝收山不果跳楼自杀后，终转当一楼一凤的保镳，独力抚养儿子李彭。转瞬间李彭已十八岁，是个边缘少年，跟父亲关系极不融洽，而亦因犯事被判监守行为。李彭有一好友阿东，二人同读夜校，惜李彭无心向学，并考试作弊，被Miss张训斥。李彭暗恋阿东的妹妹阿仪，阿仪在快餐店兼职，李彭经常往找她。一次恶少金十二调侃阿仪，李彭怒视金十二，竟因而被人殴伤，连带阿东亦不能幸免。老李与阿东的父亲双双赶往医院探望，二人终于在一场误会中成为老友。Miss张见李彭本性不坏，助他温习，希望他能补考升班。金十二垂涎阿仪美色，使计迷奸了她，后被李彭知悉，大怒重殴十二少，遂掀起连天大祸……","曹建南","","","","成奎安","午马","张艾嘉","吴家丽"
"金瓶风月","1991","","","","","","","","","","","","","",""
"敦煌夜谭","","1301163","","","","","","","","","","","","",""
"千王1991","1991","1305625","喜剧","","","6.6","台湾千术大师泰斗在与香港千王黄上千（黄百鸣 饰）一战中落败，从此与黄上千结下了仇怨。黄上千的徒弟阿伟（梁朝伟 饰）一日结识了从新加坡返港的寡妇苏茜，以为能从中大捞一笔，于是伙同任公子（任达华 饰）和师姐大波媚（叶子楣 饰）设局。岂料苏茜其实也是一个老千，阿伟他们不仅没能打捞一笔，反而落得一身债务。无奈之下阿伟只好请师傅黄大千出马，黄大千赢回了苏茜手上阿伟的签单后，与苏茜握手言和，并敲定一起合作对付奸商龙在天。他们轻而易举的把龙在天的两百万搞到了，龙在天不甘心就此被骗，于是请泰斗再次出战……©豆瓣","于仁泰","","","","梁朝伟","黄百鸣","任达华","叶子楣"
"一触即发","1991","1295094","动作","剧情","","6.2","沙展刘检获一辑淫照交予上司姜警司后不久，即遭冷面杀手大虎所杀，多年拍档阿Pitt誓要替老友复仇，追赶原凶，于是逐一线索查探，张于发现面档肥老鹅是唯一的目击证人，邀得他的帮助，于是顺利将大虎拘捕，可惜他随即被金律师担保外出。大虎为向肥鹅报复，派人向其家掷燃烧弹；使他变得无家可归。于是Pitt邀他回家暂住。\nPitt姐Angel乃新闻记者，为套取第一手资料，经常向肥鹅索料，闹出不少笑料，二人更设下“非礼计划”，借故在公众地方将大虎痛殴一顿，以泄心头愤。   大虎其后设陷阱引肥鹅与 Pitt，欲将之干掉，幸得小美相助才得以脱险。\n小美原来是黑市居民，被诱骗来港，又被金律师迫为娼妓。在小美帮助下， Pitt与肥鹅取得架步内的一辑淫照，并发现姜警司原来有份参与，于是向姜警司大兴问罪。谁知姜警司已将Angel、小美等捉去作人质，迫他们二人交出淫照。当然最后是邪不能胜正的。","林岭东","","","","洪金宝","温碧霞","毛舜筠","尹扬明"
"僵尸福星仔","1991","1301338","喜剧","恐怖","","5.1","旅行团意外流落荒岛，领队在一废村里发现巨大钻石，一时贪心将其取走，却误将鬼王释放。鬼王法力未恢复，岛上众人尚能幸存，还互相发生争执，可鬼王法力渐渐恢复，众人陷入危机之中，才意识到要消灭鬼王只有同心协力……","夏秀轩","李百龄","","","楼南光","吴君如","成奎安","叶子楣"
"轰天龙","1991","1298498","动作","","","0","沙展麦展华于一次绑架中捕杀了一名重犯阿虎。其兄阿龙刚巧在美国出狱，得知弟弟被杀，矢要报仇。华之姐姐及弟在美国均是警务人员，因与龙有所织怨，全家惨遭杀害，霸幸免于难。龙潜逃香港聊同越帮人展开报复，先向华之妻子轮奸，更向霸展开追杀，一场轰天之战，即将展开。","庄尼","","","","李元霸","吴毅将","颜丽如","威龙"
